id;plage;pharmacie;telephone1;telephone2;telephone3;localisation
1;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;MARCHE  du;242 01 50 46;690 30 75 88;;MARCHE CENTRAL
2;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;BASTOS;222 20 65 55;;;CARREFOUR BASTOS
3;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;TSINGA  de;699 55 01 55;;;face PMI TSINGA
4;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;LYRIS;681 32 45 92;;;MIMBOMAN CHAPELLE  face Feicom
5;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;CRYSTALLIS  le;242 71 05 86;667 08 95 63;;Carrefour ETOA MEKI
6;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;SAINTE ANNE;696 48 84 87;653 19 27 79;;"face Polyclinique FOUDA – quartier
FOUDA"
7;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;PRIORITE SANTE;671 02 52 81;656 10 94 95;;Brigade de Gendarmerie de
8;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;NKONDONGO;242 00 47 60;242 11 54 07;;NKONDONGO ECOLE
9;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;MARIJOVA;699 98 86 83;;;Entre Carrefour MEEC et DOVV - Nvlle
10;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;CARREFOUR EMIA;222 23 42 07;222 23 00 86 /;;EMIA
11;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;SIMBA'A;222 31 48 62;656 19 41 52 /;;Montée JOUVENCE MENDONG
12;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;ETOILE  de l';222 31 49 62;696 49 42 51;671 28 06 98;Montée MAISONS BLANCHES
13;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;BETHESDA;222 31 39 97;;;TAM-TAM WEEK-END
14;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;EMANA  d';222 21 42 94;;;à côté du Supermarché Noblesse - EMANA
15;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;TONGOLO;222 20 94 85;657 95 18 18;678 93 10 04;Carrefour CLUB YANNICK
16;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;PERSEVERANCE  la;243 84 41 35;243 84 67 75;;AWAE ESCALIER
17;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;SAINT VICTOR ESSOMBA;672 87 87 33;;;MOSQUEE ESSOMBA
18;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;ODZA  d';691 86 77 72;;;Carrefour MBOG-ABANG
19;Sam. 04 Nov. 2023 à 8h - Lun. 06 Nov. 2023 à 8h;MINKAN  de;697 24 77 75;673 49 07 17;;MINKAN entrée par Carrefour TERMINUS
20;Jeu. 02 Nov. 2023 à 8h - Ven. 03 Nov. 2023 à 8h;FRANCAISE;222 22 14 76;677 62 08 47;664 12 16 44;Face ancienne BICIC CENTRALE
21;Jeu. 02 Nov. 2023 à 8h - Ven. 03 Nov. 2023 à 8h;JOURDAIN  le;676 88 95 25;;;à côté de l’Immeuble MACABO -NKOMKANA
22;Jeu. 02 Nov. 2023 à 8h - Ven. 03 Nov. 2023 à 8h;BOTANIK;694 73 54 60;;;SHAKESPEARE MIMBOMAN I
23;Jeu. 02 Nov. 2023 à 8h - Ven. 03 Nov. 2023 à 8h;ELIG-EDZOA  d';677 71 81 27;;;face CASSE ELIG EDZOA
24;Jeu. 02 Nov. 2023 à 8h - Ven. 03 Nov. 2023 à 8h;STADE  du;222 20 67 10;;;STADE OMNISPORT
